"Payroll Journal Report"

"Seedlings Lawn Care, LLC"
"225 Stony Branch Trl"
"Chapel Hill","NC","27516"

"Employee Earnings"
"Weekly Payroll payroll period"," 08/10/2026 - 08/16/2026"
"Pay day"," 08/21/2026"
"Last Name","First Name","Work Address","Employee Type","Payment","Regular (Hours)","Regular (Rate)","Regular (Amount)","Additional Earnings","Gross Earnings","Employee Taxes","Federal Income Tax (Employee)","Social Security (Employee)","Medicare (Employee)","Additional Medicare (Employee)","NC State Tax (Employee)","Employer Taxes","Social Security (Employer)","Medicare (Employer)","FUTA (Employer)","NC Unemployment Tax (Employer)","Net Pay","Reimbursements","Donations","Check Amount","Employer Cost"
"Serrano","Caleb","225 Stony Branch Trl, Chapel Hill, NC 27516","Paid by the hour","Direct Deposit","","","","","0.00","0.00","","","","","","0.00","","","","","0.00","0.00","0.00","0.00","0.00"
"Torres","Justin","225 Stony Branch Trl, Chapel Hill, NC 27516","Paid by the hour","Direct Deposit","17.25","7.25","125.06","438.73","563.79","81.85","25.73","34.95","8.17","0.00","13.00","52.14","34.95","8.17","3.38","5.64","481.94","0.00","0.00","481.94","615.93"
"Wanderski","Jacob","225 Stony Branch Trl, Chapel Hill, NC 27516","Paid by the hour","Direct Deposit","20.52","7.25","148.77","577.52","726.29","120.79","45.23","45.03","10.53","0.00","20.00","55.56","45.03","10.53","","","605.50","0.00","0.00","605.50","781.85"
"Payroll Totals","","","","","37.77","7.25","273.83","1016.25","1290.08","202.64","70.96","79.98","18.70","0.00","33.00","107.70","79.98","18.70","3.38","5.64","1087.44","0.00","0.00","1087.44","1397.78"
